RunID,CaseID,SchedulingRequestID,AbsoluteSlot,IsOccasion,PendingPositiveSR,Transmitted,ResourceID,Mismatch,Status
PUCCH_PHASE05_R18,SR-0211,4,18,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0212,1,18,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0213,2,21,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0214,3,21,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0215,4,24,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0216,1,24,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0217,2,0,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0218,3,0,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0219,4,3,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0220,1,3,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0221,2,6,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0222,3,6,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0223,4,9,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0224,1,9,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0225,2,12,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0226,3,12,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0227,4,15,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0228,1,15,false,true,false,1,false,PASS
PUCCH_PHASE05_R18,SR-0229,2,18,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0230,3,18,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0231,4,21,true,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0232,1,21,true,true,true,1,false,PASS
PUCCH_PHASE05_R18,SR-0233,2,24,false,false,false,2,false,PASS
PUCCH_PHASE05_R18,SR-0234,3,24,false,true,false,3,false,PASS
PUCCH_PHASE05_R18,SR-0235,4,0,false,false,false,4,false,PASS
PUCCH_PHASE05_R18,SR-0236,1,0,false,true,false,1,false,PASS
