RunID,ExperimentID,OperatingPointID,G,GULSCH,GACK,GCSI1,GCSI2,GCGUCI,GUTOUCI,UCIOverheadFraction,EffectiveULSCHCodeRate,ACKBLER,CSI1BLER,CSI2BLER,ULSCHBLER,Goodput_bps,Status
pusch_impact_20260726T140352Z,F17-E016,D800_A3,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F18-E001,TDL-A_C1,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F18-E002,TDL-A_C2,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F18-E003,TDL-C_C1,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F18-E004,TDL-C_C2,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F18-E005,TDL-E_C1,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F18-E006,TDL-E_C2,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F19-E001,R1_L1,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F19-E002,R1_L2,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F19-E003,R2_L1,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F19-E004,R2_L2,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F19-E005,R4_L1,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F19-E006,R4_L2,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F19-E007,R8_L1,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F19-E008,R8_L2,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F20-E001,ideal_R2,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
pusch_impact_20260726T140352Z,F20-E002,ideal_R4,1536,1536,0,0,0,0,0,0,0.5,0,0,0,1,0,PASS
